Expense Category,Budgeted Amount,Actual Amount,Variance,Variance %,Comments
Marketing Expenses,93417.67,111338.80042414185,17921.130424141855,19.18,Increased campaign costs
Utilities,77623.4,62791.944444554094,-14831.4555554459,-19.11,"Efficient usage, possibly due to energy-saving initiatives"
Utilities,87516.57,72653.53118579202,-14863.03881420799,-16.98,"Efficient usage, possibly due to energy-saving initiatives"
Employee Benefits,10442.17,11218.207451480643,776.0374514806426,7.43,Lower due to reduced benefits claims
Marketing Expenses,71200.62,90752.99973023067,19552.379730230678,27.46,Increased campaign costs
Technology Equipment,20191.74,17302.537099917026,-2889.2029000829752,-14.31,High due to unexpected upgrades
Miscellaneous Expenses,40489.42,49978.57990599836,9489.159905998364,23.44,Unexpected miscellaneous costs
Employee Benefits,27461.0,30771.763405434915,3310.7634054349146,12.06,Lower due to reduced benefits claims
Training and Development,76188.65,94037.31406727678,17848.664067276783,23.43,Underutilized training budget
Miscellaneous Expenses,69928.21,63374.74982532411,-6553.4601746759,-9.37,Unexpected miscellaneous costs
Employee Benefits,57154.96,46876.12296608828,-10278.837033911717,-17.98,Lower due to reduced benefits claims
Office Supplies,77182.04,84856.64281775088,7674.602817750885,9.94,Overdue to remote work increase
Miscellaneous Expenses,92561.25,96601.48397021228,4040.2339702122845,4.36,Unexpected miscellaneous costs
Employee Benefits,59777.08,56364.73604280298,-3412.343957197023,-5.71,Lower due to reduced benefits claims
Salaries and Wages,31108.06,31605.223353517835,497.16335351783346,1.6,Overdue to overtime and staffing needs
Employee Benefits,61939.49,55298.14532707807,-6641.344672921929,-10.72,Lower due to reduced benefits claims
Employee Benefits,68983.57,61618.17111790067,-7365.39888209934,-10.68,Lower due to reduced benefits claims
Travel Expenses,55014.49,59604.7128833215,4590.222883321505,8.34,Under budget due to reduced travel
Technology Equipment,98070.12,125429.93407511599,27359.814075115995,27.9,High due to unexpected upgrades
Miscellaneous Expenses,38643.02,31044.098243795863,-7598.921756204134,-19.66,Unexpected miscellaneous costs
Utilities,49685.13,64222.45795787805,14537.32795787805,29.26,"Efficient usage, possibly due to energy-saving initiatives"
Utilities,84158.97,83191.24006975084,-967.7299302491592,-1.15,"Efficient usage, possibly due to energy-saving initiatives"
Training and Development,36074.09,36579.556239772246,505.46623977224954,1.4,Underutilized training budget
Utilities,18859.63,19967.532141909072,1107.9021419090714,5.87,"Efficient usage, possibly due to energy-saving initiatives"
Training and Development,28220.85,31246.088426531685,3025.238426531687,10.72,Underutilized training budget
Miscellaneous Expenses,20072.99,18094.794722515526,-1978.1952774844758,-9.86,Unexpected miscellaneous costs
Salaries and Wages,39308.57,48142.20072358781,8833.630723587812,22.47,Overdue to overtime and staffing needs
Miscellaneous Expenses,41584.74,35734.03884221507,-5850.701157784926,-14.07,Unexpected miscellaneous costs
Training and Development,43766.38,46815.90040448287,3049.5204044828715,6.97,Underutilized training budget
Salaries and Wages,22170.02,27660.57982295895,5490.559822958949,24.77,Overdue to overtime and staffing needs
Salaries and Wages,52576.46,55387.25938175308,2810.7993817530805,5.35,Overdue to overtime and staffing needs
Marketing Expenses,56573.76,58483.55534411848,1909.79534411848,3.38,Increased campaign costs
Training and Development,57007.37,47024.6631876082,-9982.7068123918,-17.51,Underutilized training budget
Miscellaneous Expenses,14497.03,17800.416953847,3303.3869538470008,22.79,Unexpected miscellaneous costs
Salaries and Wages,99599.03,129465.27910863464,29866.24910863464,29.99,Overdue to overtime and staffing needs
Salaries and Wages,42091.05,45137.39007705666,3046.3400770566586,7.24,Overdue to overtime and staffing needs
Consulting Fees,92356.37,97180.60963573809,4824.239635738093,5.22,Savings from in-house expertise
Employee Benefits,19943.01,21243.47998246364,1300.469982463641,6.52,Lower due to reduced benefits claims
Marketing Expenses,31714.86,38179.80572734193,6464.945727341932,20.38,Increased campaign costs
Utilities,99961.15,87291.39220568801,-12669.757794311983,-12.67,"Efficient usage, possibly due to energy-saving initiatives"
Marketing Expenses,17292.99,19402.60474197344,2109.614741973437,12.2,Increased campaign costs
Employee Benefits,68343.62,62159.92883964184,-6183.691160358154,-9.05,Lower due to reduced benefits claims
Training and Development,69834.72,84900.30248755685,15065.58248755685,21.57,Underutilized training budget
Technology Equipment,27373.92,33528.50235384559,6154.582353845595,22.48,High due to unexpected upgrades
Consulting Fees,77515.49,86845.91205321606,9330.422053216054,12.04,Savings from in-house expertise
Miscellaneous Expenses,24462.48,20421.823304429938,-4040.656695570062,-16.52,Unexpected miscellaneous costs
Office Supplies,25167.41,20460.772073434582,-4706.637926565418,-18.7,Overdue to remote work increase
Travel Expenses,56629.59,47556.01106712023,-9073.57893287977,-16.02,Under budget due to reduced travel
Travel Expenses,14635.17,11945.59301414482,-2689.5769858551794,-18.38,Under budget due to reduced travel
Travel Expenses,43626.23,36451.70558538603,-7174.524414613974,-16.45,Under budget due to reduced travel
Office Supplies,52851.58,46939.43031312834,-5912.149686871664,-11.19,Overdue to remote work increase
Utilities,20695.17,20596.8209093351,-98.34909066489854,-0.48,"Efficient usage, possibly due to energy-saving initiatives"
Marketing Expenses,80874.6,72384.93533696387,-8489.664663036136,-10.5,Increased campaign costs
Marketing Expenses,81105.01,101116.27971189948,20011.269711899484,24.67,Increased campaign costs
Marketing Expenses,36031.75,156024.12424224007,119992.37424224007,333.02,Increased campaign costs
Office Supplies,49600.28,47250.44986069723,-2349.8301393027723,-4.74,Overdue to remote work increase
Marketing Expenses,24028.37,27744.147986351585,3715.777986351586,15.46,Increased campaign costs
Employee Benefits,23670.17,27730.2920107407,4060.1220107407025,17.15,Lower due to reduced benefits claims
Consulting Fees,18248.22,21945.697624214452,3697.4776242144508,20.26,Savings from in-house expertise
Consulting Fees,20224.47,25899.590944654006,5675.120944654005,28.06,Savings from in-house expertise
Employee Benefits,94183.36,81430.50933693684,-12752.85066306316,-13.54,Lower due to reduced benefits claims
Utilities,76117.77,70727.9395652848,-5389.830434715201,-7.08,"Efficient usage, possibly due to energy-saving initiatives"
Utilities,62943.6,81024.4534072086,18080.853407208597,28.73,"Efficient usage, possibly due to energy-saving initiatives"
Miscellaneous Expenses,53745.59,51136.660137890496,-2608.9298621095004,-4.85,Unexpected miscellaneous costs
Employee Benefits,59135.35,59909.934559410394,774.5845594103957,1.31,Lower due to reduced benefits claims
Office Supplies,74166.12,96357.97647775369,22191.856477753696,29.92,Overdue to remote work increase
Training and Development,55432.67,51062.66094597665,-4370.0090540233505,-7.88,Underutilized training budget
Salaries and Wages,36443.39,46375.517558391395,9932.127558391396,27.25,Overdue to overtime and staffing needs
Employee Benefits,71347.28,67254.58516849244,-4092.694831507557,-5.74,Lower due to reduced benefits claims
Miscellaneous Expenses,83712.06,104110.69301570814,20398.63301570814,24.37,Unexpected miscellaneous costs
Consulting Fees,95107.92,102911.45129066921,7803.5312906692125,8.2,Savings from in-house expertise
Technology Equipment,85020.92,68329.92328514456,-16690.996714855442,-19.63,High due to unexpected upgrades
Marketing Expenses,51773.28,65738.08280547193,13964.802805471933,26.97,Increased campaign costs
Employee Benefits,17114.42,21960.309413780313,4845.8894137803145,28.31,Lower due to reduced benefits claims
Travel Expenses,14490.76,13967.474822972265,-523.2851770277357,-3.61,Under budget due to reduced travel
Salaries and Wages,39532.47,40611.84773583363,1079.3777358336301,2.73,Overdue to overtime and staffing needs
Salaries and Wages,66584.79,72070.4255004312,5485.635500431206,8.24,Overdue to overtime and staffing needs
Technology Equipment,61876.75,75990.13333183622,14113.383331836216,22.81,High due to unexpected upgrades
Consulting Fees,89057.04,103613.83724650841,14556.797246508417,16.35,Savings from in-house expertise
Office Supplies,42845.61,37266.725949650114,-5578.884050349887,-13.02,Overdue to remote work increase
Utilities,72213.02,79949.03296378962,7736.012963789617,10.71,"Efficient usage, possibly due to energy-saving initiatives"
Employee Benefits,80252.46,73574.41284276427,-6678.047157235735,-8.32,Lower due to reduced benefits claims
Employee Benefits,94233.89,78755.21596304479,-15478.674036955214,-16.43,Lower due to reduced benefits claims
Travel Expenses,66816.53,74578.23732042337,7761.707320423375,11.62,Under budget due to reduced travel
Technology Equipment,65028.93,82717.47272695135,17688.542726951353,27.2,High due to unexpected upgrades
Employee Benefits,25331.13,30342.54687360826,5011.416873608257,19.78,Lower due to reduced benefits claims
Consulting Fees,76021.4,69332.76965819231,-6688.630341807686,-8.8,Savings from in-house expertise
Office Supplies,23398.71,23166.7373882464,-231.97261175359745,-0.99,Overdue to remote work increase
Training and Development,50992.44,58200.41457132366,7207.974571323655,14.14,Underutilized training budget
Office Supplies,79471.85,102138.22364485565,22666.373644855645,28.52,Overdue to remote work increase
Marketing Expenses,54690.49,66620.32919229704,11929.83919229704,21.81,Increased campaign costs
Training and Development,34186.2,35899.271082377396,1713.0710823773989,5.01,Underutilized training budget
Training and Development,75497.72,77900.76946146874,2403.049461468734,3.18,Underutilized training budget
Office Supplies,80868.26,103998.60776764616,23130.347767646163,28.6,Overdue to remote work increase
Office Supplies,93285.68,117903.21457399127,24617.534573991274,26.39,Overdue to remote work increase
Training and Development,69789.95,59982.972849913174,-9806.977150086823,-14.05,Underutilized training budget
Salaries and Wages,37669.18,46151.733046910864,8482.553046910863,22.52,Overdue to overtime and staffing needs
Office Supplies,20388.64,25701.4617497358,5312.821749735802,26.06,Overdue to remote work increase
Office Supplies,48551.5,42477.53145184599,-6073.968548154007,-12.51,Overdue to remote work increase
Miscellaneous Expenses,66484.4,59660.23902316805,-6824.160976831947,-10.26,Unexpected miscellaneous costs
Utilities,93659.64,106411.54873325481,12751.908733254808,13.62,"Efficient usage, possibly due to energy-saving initiatives"
Utilities,59089.08,73843.03770392723,14753.957703927226,24.97,"Efficient usage, possibly due to energy-saving initiatives"
Technology Equipment,15138.74,16463.599568736965,1324.8595687369652,8.75,High due to unexpected upgrades
Training and Development,17121.88,20595.220159979664,3473.3401599796634,20.29,Underutilized training budget
Miscellaneous Expenses,93169.9,81152.59743251583,-12017.302567484163,-12.9,Unexpected miscellaneous costs
Utilities,55484.23,57027.13644363346,1542.9064436334593,2.78,"Efficient usage, possibly due to energy-saving initiatives"
Employee Benefits,78356.72,66437.8712843899,-11918.848715610104,-15.21,Lower due to reduced benefits claims
Training and Development,68916.49,88004.10920309639,19087.619203096387,27.7,Underutilized training budget
Miscellaneous Expenses,88392.18,72328.9974360076,-16063.182563992392,-18.17,Unexpected miscellaneous costs
Miscellaneous Expenses,21173.24,21234.862978329296,61.62297832929471,0.29,Unexpected miscellaneous costs
Consulting Fees,81306.41,84442.87254590329,3136.462545903283,3.86,Savings from in-house expertise
Technology Equipment,95826.14,84887.44294834376,-10938.697051656243,-11.42,High due to unexpected upgrades
Employee Benefits,28279.57,27034.211643282466,-1245.3583567175338,-4.4,Lower due to reduced benefits claims
Office Supplies,40738.95,35411.72879333049,-5327.2212066695065,-13.08,Overdue to remote work increase
Travel Expenses,65920.0,71721.98775424199,5801.987754241985,8.8,Under budget due to reduced travel
Utilities,15332.83,13528.466094029607,-1804.3639059703928,-11.77,"Efficient usage, possibly due to energy-saving initiatives"
Travel Expenses,38946.06,36071.878241955375,-2874.1817580446223,-7.38,Under budget due to reduced travel
Miscellaneous Expenses,49327.36,48615.8651040977,-711.4948959023022,-1.44,Unexpected miscellaneous costs
Employee Benefits,11379.32,14096.759928607078,2717.4399286070784,23.88,Lower due to reduced benefits claims
Employee Benefits,44951.13,37205.277678144215,-7745.852321855782,-17.23,Lower due to reduced benefits claims
Miscellaneous Expenses,38367.44,46511.0634922198,8143.623492219798,21.23,Unexpected miscellaneous costs
Salaries and Wages,46934.81,213927.1051484162,166992.2951484162,355.8,Overdue to overtime and staffing needs
Employee Benefits,25534.26,31561.414700397618,6027.154700397619,23.6,Lower due to reduced benefits claims
Salaries and Wages,83891.87,73602.79697650019,-10289.073023499805,-12.26,Overdue to overtime and staffing needs
Training and Development,29461.94,26015.21777592894,-3446.722224071058,-11.7,Underutilized training budget
Consulting Fees,58209.43,53957.48544558819,-4251.944554411813,-7.3,Savings from in-house expertise
Consulting Fees,65819.56,67985.3826344329,2165.8226344329014,3.29,Savings from in-house expertise
Miscellaneous Expenses,58517.93,57971.22411978195,-546.7058802180472,-0.93,Unexpected miscellaneous costs
Miscellaneous Expenses,29732.82,32333.453165622963,2600.633165622963,8.75,Unexpected miscellaneous costs
Consulting Fees,78446.52,72409.77210125398,-6036.74789874602,-7.7,Savings from in-house expertise
Marketing Expenses,88733.4,103778.78012957003,15045.38012957004,16.96,Increased campaign costs
Marketing Expenses,42739.67,46582.78954260085,3843.119542600849,8.99,Increased campaign costs
Employee Benefits,67546.84,80512.5420542881,12965.702054288107,19.2,Lower due to reduced benefits claims
Technology Equipment,88980.56,76283.69143714131,-12696.868562858683,-14.27,High due to unexpected upgrades
Utilities,58256.15,75098.12013867247,16841.97013867247,28.91,"Efficient usage, possibly due to energy-saving initiatives"
Travel Expenses,95035.47,79669.34319824142,-15366.126801758583,-16.17,Under budget due to reduced travel
Training and Development,57214.31,51358.71501210401,-5855.594987895987,-10.23,Underutilized training budget
Travel Expenses,32922.99,28864.50342664181,-4058.4865733581864,-12.33,Under budget due to reduced travel
Travel Expenses,43500.85,50495.36928648419,6994.519286484188,16.08,Under budget due to reduced travel
Travel Expenses,47251.47,47503.304972682075,251.8349726820743,0.53,Under budget due to reduced travel
Training and Development,37297.54,34494.734051427076,-2802.8059485729245,-7.51,Underutilized training budget
Office Supplies,88772.72,78818.74910422118,-9953.970895778824,-11.21,Overdue to remote work increase
Employee Benefits,16516.85,19831.426677437383,3314.576677437384,20.07,Lower due to reduced benefits claims
Miscellaneous Expenses,43401.12,45282.23198444425,1881.111984444251,4.33,Unexpected miscellaneous costs
Utilities,92397.42,98747.75800037911,6350.33800037911,6.87,"Efficient usage, possibly due to energy-saving initiatives"
Utilities,19750.25,24215.31479851183,4465.06479851183,22.61,"Efficient usage, possibly due to energy-saving initiatives"
Employee Benefits,70535.57,79749.30880140318,9213.738801403175,13.06,Lower due to reduced benefits claims
Marketing Expenses,95963.82,122107.43904563939,26143.61904563938,27.24,Increased campaign costs
Travel Expenses,12015.49,14998.858421524907,2983.368421524907,24.83,Under budget due to reduced travel
Training and Development,49284.07,49946.755593975926,662.6855939759262,1.34,Underutilized training budget
Office Supplies,36368.41,45234.104641802216,8865.694641802213,24.38,Overdue to remote work increase
Employee Benefits,65727.84,54425.00614756279,-11302.833852437208,-17.2,Lower due to reduced benefits claims
Salaries and Wages,62567.34,67119.76618069541,4552.426180695416,7.28,Overdue to overtime and staffing needs
Utilities,53998.27,49318.471474477665,-4679.798525522332,-8.67,"Efficient usage, possibly due to energy-saving initiatives"
Technology Equipment,57054.25,46610.29686896877,-10443.95313103123,-18.31,High due to unexpected upgrades
Office Supplies,18239.0,17415.932491631076,-823.0675083689239,-4.51,Overdue to remote work increase
Marketing Expenses,30407.21,30153.23975157959,-253.97024842040992,-0.84,Increased campaign costs
Employee Benefits,51265.51,49193.84734489656,-2071.6626551034424,-4.04,Lower due to reduced benefits claims
Salaries and Wages,29045.73,34512.95108871336,5467.221088713359,18.82,Overdue to overtime and staffing needs
Office Supplies,98292.6,108867.08829036899,10574.488290368987,10.76,Overdue to remote work increase
Travel Expenses,24337.44,23129.758139963964,-1207.6818600360348,-4.96,Under budget due to reduced travel
Miscellaneous Expenses,92976.67,90831.98469021157,-2144.6853097884305,-2.31,Unexpected miscellaneous costs
Technology Equipment,86014.96,80246.62883709844,-5768.331162901566,-6.71,High due to unexpected upgrades
Salaries and Wages,64409.69,59684.14672754706,-4725.5432724529455,-7.34,Overdue to overtime and staffing needs
Salaries and Wages,70193.69,84067.52741782616,13873.837417826158,19.77,Overdue to overtime and staffing needs
Employee Benefits,24367.92,21009.222807855254,-3358.697192144744,-13.78,Lower due to reduced benefits claims
Consulting Fees,50238.75,63450.6942194986,13211.944219498597,26.3,Savings from in-house expertise
Travel Expenses,57224.3,60691.4228992558,3467.1228992557953,6.06,Under budget due to reduced travel
Miscellaneous Expenses,32233.04,28116.285672279213,-4116.754327720788,-12.77,Unexpected miscellaneous costs
Marketing Expenses,27275.7,29337.69493543552,2061.9949354355194,7.56,Increased campaign costs
Training and Development,93820.93,110618.58311143379,16797.6531114338,17.9,Underutilized training budget
Salaries and Wages,57572.43,68910.72290779377,11338.292907793766,19.69,Overdue to overtime and staffing needs
Utilities,83886.12,78759.28952378879,-5126.830476211209,-6.11,"Efficient usage, possibly due to energy-saving initiatives"
Consulting Fees,82895.86,82229.88925738975,-665.9707426102541,-0.8,Savings from in-house expertise
Training and Development,30700.56,37769.37310269867,7068.81310269867,23.03,Underutilized training budget
Travel Expenses,97115.6,124300.88878343489,27185.28878343488,27.99,Under budget due to reduced travel
Technology Equipment,12209.64,13094.321056465837,884.6810564658372,7.25,High due to unexpected upgrades
Training and Development,11926.94,9594.665612735771,-2332.2743872642295,-19.55,Underutilized training budget
Training and Development,64220.04,54492.32735000244,-9727.712649997564,-15.15,Underutilized training budget
Technology Equipment,89479.39,115852.3833843278,26372.993384327798,29.47,High due to unexpected upgrades
Office Supplies,60636.85,73579.28802407012,12942.438024070121,21.34,Overdue to remote work increase
Utilities,88978.97,88169.19796748384,-809.7720325161645,-0.91,"Efficient usage, possibly due to energy-saving initiatives"
Consulting Fees,34951.06,32101.358243233437,-2849.7017567665607,-8.15,Savings from in-house expertise
Travel Expenses,90405.89,94506.46605490372,4100.576054903722,4.54,Under budget due to reduced travel
Marketing Expenses,18162.96,14635.04675961958,-3527.9132403804197,-19.42,Increased campaign costs
Travel Expenses,93378.72,111373.8530169357,17995.133016935695,19.27,Under budget due to reduced travel
Employee Benefits,76615.95,75326.09102673232,-1289.8589732676774,-1.68,Lower due to reduced benefits claims
Miscellaneous Expenses,88607.21,76160.47839430992,-12446.731605690089,-14.05,Unexpected miscellaneous costs
Employee Benefits,59722.48,63345.99433895903,3623.5143389590303,6.07,Lower due to reduced benefits claims
Consulting Fees,91416.85,83288.88736080435,-8127.962639195655,-8.89,Savings from in-house expertise
Salaries and Wages,96416.98,119972.30041102557,23555.320411025576,24.43,Overdue to overtime and staffing needs
Employee Benefits,22110.83,23142.68711871647,1031.857118716467,4.67,Lower due to reduced benefits claims
Technology Equipment,39545.51,43113.37840380948,3567.86840380948,9.02,High due to unexpected upgrades
Travel Expenses,60076.13,50189.09529912708,-9887.034700872915,-16.46,Under budget due to reduced travel
Travel Expenses,70437.31,69968.78347053207,-468.5265294679266,-0.67,Under budget due to reduced travel
Travel Expenses,20014.17,19449.614869905112,-564.5551300948864,-2.82,Under budget due to reduced travel
Miscellaneous Expenses,89652.83,101134.81016927007,11481.980169270071,12.81,Unexpected miscellaneous costs
Miscellaneous Expenses,44856.07,54246.217465138805,9390.147465138805,20.93,Unexpected miscellaneous costs
Salaries and Wages,35895.2,44539.74083194071,8644.540831940714,24.08,Overdue to overtime and staffing needs
Salaries and Wages,67844.55,84274.6025846644,16430.0525846644,24.22,Overdue to overtime and staffing needs
Training and Development,74889.13,73101.6070192774,-1787.5229807225987,-2.39,Underutilized training budget
Employee Benefits,93153.16,99096.15424445641,5942.994244456408,6.38,Lower due to reduced benefits claims
Office Supplies,10605.6,10125.102079944536,-480.4979200554644,-4.53,Overdue to remote work increase
Office Supplies,65995.17,80362.87836997755,14367.708369977554,21.77,Overdue to remote work increase
Travel Expenses,46940.56,49771.89209063803,2831.3320906380322,6.03,Under budget due to reduced travel
Technology Equipment,96062.86,95399.14830443593,-663.7116955640668,-0.69,High due to unexpected upgrades
Technology Equipment,64007.55,75021.94967461053,11014.399674610526,17.21,High due to unexpected upgrades
Miscellaneous Expenses,51628.28,65572.9860875105,13944.706087510494,27.01,Unexpected miscellaneous costs
Salaries and Wages,74433.55,77796.19952020458,3362.649520204577,4.52,Overdue to overtime and staffing needs
Miscellaneous Expenses,20476.64,16557.646153580503,-3918.9938464194965,-19.14,Unexpected miscellaneous costs
Office Supplies,15535.06,17162.50493624212,1627.44493624212,10.48,Overdue to remote work increase
Salaries and Wages,35332.01,39882.24729853478,4550.237298534776,12.88,Overdue to overtime and staffing needs
Salaries and Wages,51600.23,53695.74825996996,2095.5182599699547,4.06,Overdue to overtime and staffing needs
Salaries and Wages,99744.88,82217.14324300228,-17527.73675699772,-17.57,Overdue to overtime and staffing needs
Utilities,50234.72,48642.12235952741,-1592.597640472588,-3.17,"Efficient usage, possibly due to energy-saving initiatives"
Travel Expenses,79634.0,91208.61437200889,11574.614372008888,14.53,Under budget due to reduced travel
Office Supplies,18206.88,14568.025126291639,-3638.854873708362,-19.99,Overdue to remote work increase
Consulting Fees,30354.22,27260.851047985387,-3093.3689520146145,-10.19,Savings from in-house expertise
Travel Expenses,67864.62,87353.58728588742,19488.967285887426,28.72,Under budget due to reduced travel
Training and Development,93737.68,121424.46840444232,27686.788404442326,29.54,Underutilized training budget
Utilities,77213.52,61792.739838504494,-15420.78016149551,-19.97,"Efficient usage, possibly due to energy-saving initiatives"
Salaries and Wages,90906.89,92708.99140349207,1802.1014034920663,1.98,Overdue to overtime and staffing needs
Travel Expenses,84037.08,70153.01130122441,-13884.06869877559,-16.52,Under budget due to reduced travel
Travel Expenses,40936.8,40361.76872000689,-575.0312799931125,-1.4,Under budget due to reduced travel
Consulting Fees,25712.46,22604.704358804524,-3107.7556411954756,-12.09,Savings from in-house expertise
Office Supplies,64853.07,58600.50123281531,-6252.56876718469,-9.64,Overdue to remote work increase
Miscellaneous Expenses,54068.09,64329.715089967445,10261.625089967449,18.98,Unexpected miscellaneous costs
Miscellaneous Expenses,85625.47,103186.02305124824,17560.553051248236,20.51,Unexpected miscellaneous costs
Utilities,51601.27,49618.31927097414,-1982.9507290258553,-3.84,"Efficient usage, possibly due to energy-saving initiatives"
Marketing Expenses,96511.96,115792.34511762128,19280.385117621277,19.98,Increased campaign costs
Miscellaneous Expenses,45785.62,39693.172062959355,-6092.447937040648,-13.31,Unexpected miscellaneous costs
Office Supplies,97626.95,121496.23607331132,23869.28607331132,24.45,Overdue to remote work increase
Salaries and Wages,85676.67,100707.5884040334,15030.918404033408,17.54,Overdue to overtime and staffing needs
Training and Development,79554.16,68563.57963451557,-10990.580365484435,-13.82,Underutilized training budget
Travel Expenses,19510.03,23462.498483276755,3952.468483276756,20.26,Under budget due to reduced travel
Technology Equipment,56496.96,68275.01126736592,11778.051267365918,20.85,High due to unexpected upgrades
Office Supplies,50418.48,61986.16732262729,11567.687322627287,22.94,Overdue to remote work increase
Office Supplies,44042.29,44904.6467650796,862.3567650795958,1.96,Overdue to remote work increase
Travel Expenses,94849.26,110726.472639433,15877.212639433012,16.74,Under budget due to reduced travel
Consulting Fees,25944.93,28964.746611256243,3019.816611256243,11.64,Savings from in-house expertise
Travel Expenses,39078.15,43277.931548686174,4199.781548686173,10.75,Under budget due to reduced travel
Utilities,64323.74,52625.232928223886,-11698.507071776112,-18.19,"Efficient usage, possibly due to energy-saving initiatives"
Utilities,29282.39,28793.26794320658,-489.12205679341787,-1.67,"Efficient usage, possibly due to energy-saving initiatives"
Employee Benefits,63759.4,62041.80921181478,-1717.5907881852181,-2.69,Lower due to reduced benefits claims
Office Supplies,88011.25,99966.86445709548,11955.614457095478,13.58,Overdue to remote work increase
Salaries and Wages,29889.38,34351.1351607759,4461.755160775898,14.93,Overdue to overtime and staffing needs
Salaries and Wages,39890.61,44291.89567472501,4401.285674725012,11.03,Overdue to overtime and staffing needs
Employee Benefits,51837.67,52463.52843984754,625.8584398475432,1.21,Lower due to reduced benefits claims
Salaries and Wages,61973.37,64503.34390523933,2529.973905239327,4.08,Overdue to overtime and staffing needs
Technology Equipment,51121.83,59315.78442285713,8193.954422857125,16.03,High due to unexpected upgrades
Consulting Fees,20592.87,18364.82526393672,-2228.044736063279,-10.82,Savings from in-house expertise
Office Supplies,22236.59,26975.74212030933,4739.152120309329,21.31,Overdue to remote work increase
Marketing Expenses,45887.79,37114.70021380689,-8773.089786193108,-19.12,Increased campaign costs
Salaries and Wages,13418.0,12234.092128114053,-1183.9078718859473,-8.82,Overdue to overtime and staffing needs
Training and Development,90329.91,452531.7160341906,362201.8060341906,400.98,Underutilized training budget
Training and Development,96782.48,94964.92303616834,-1817.556963831652,-1.88,Underutilized training budget
Office Supplies,26717.67,31316.296892644074,4598.626892644075,17.21,Overdue to remote work increase
Office Supplies,81214.42,90178.46049714944,8964.040497149443,11.04,Overdue to remote work increase
Travel Expenses,41647.73,39579.389028553735,-2068.3409714462687,-4.97,Under budget due to reduced travel
Travel Expenses,55500.8,62483.319434780475,6982.519434780472,12.58,Under budget due to reduced travel
Utilities,34233.2,39122.50506905815,4889.305069058151,14.28,"Efficient usage, possibly due to energy-saving initiatives"
Marketing Expenses,38293.28,48539.13979674759,10245.859796747594,26.76,Increased campaign costs
Office Supplies,28665.29,31526.789122724265,2861.4991227242645,9.98,Overdue to remote work increase
Salaries and Wages,51358.22,60407.07841467052,9048.858414670518,17.62,Overdue to overtime and staffing needs
Consulting Fees,53889.76,58721.35918610553,4831.59918610553,8.97,Savings from in-house expertise
Training and Development,28902.85,37004.15457362073,8101.304573620735,28.03,Underutilized training budget
Consulting Fees,93560.97,75680.66892938231,-17880.301070617686,-19.11,Savings from in-house expertise
Training and Development,15869.51,13139.607043938558,-2729.9029560614417,-17.2,Underutilized training budget
Marketing Expenses,72712.67,93064.40146547464,20351.731465474644,27.99,Increased campaign costs
Travel Expenses,80754.73,87020.76489854259,6266.034898542595,7.76,Under budget due to reduced travel
Utilities,52004.24,46590.404928305514,-5413.835071694484,-10.41,"Efficient usage, possibly due to energy-saving initiatives"
Consulting Fees,45705.0,46693.69120821226,988.6912082122581,2.16,Savings from in-house expertise
Salaries and Wages,90339.42,99139.76089017239,8800.340890172389,9.74,Overdue to overtime and staffing needs
Miscellaneous Expenses,49936.56,47077.76203198748,-2858.797968012521,-5.72,Unexpected miscellaneous costs
Travel Expenses,40007.42,41161.9364686547,1154.5164686546996,2.89,Under budget due to reduced travel
Salaries and Wages,32004.85,29155.54470864764,-2849.305291352357,-8.9,Overdue to overtime and staffing needs
Training and Development,15066.76,15331.4094592449,264.64945924489984,1.76,Underutilized training budget
Salaries and Wages,31644.62,39357.08297842944,7712.462978429441,24.37,Overdue to overtime and staffing needs
Salaries and Wages,94517.58,104019.22490868012,9501.644908680115,10.05,Overdue to overtime and staffing needs
Office Supplies,83615.87,92869.45806401013,9253.588064010139,11.07,Overdue to remote work increase
Office Supplies,74055.99,95115.37630280954,21059.386302809537,28.44,Overdue to remote work increase
Employee Benefits,97814.72,100180.22837246397,2365.50837246397,2.42,Lower due to reduced benefits claims
Employee Benefits,93512.24,89585.979228062,-3926.260771938003,-4.2,Lower due to reduced benefits claims
Consulting Fees,78377.4,86565.1672978937,8187.767297893704,10.45,Savings from in-house expertise
Training and Development,37743.63,32169.05368750121,-5574.576312498786,-14.77,Underutilized training budget
Employee Benefits,62061.71,58670.09046262453,-3391.619537375467,-5.46,Lower due to reduced benefits claims
Training and Development,90545.52,99954.95314159986,9409.43314159986,10.39,Underutilized training budget
Miscellaneous Expenses,86376.03,95048.4531097845,8672.423109784504,10.04,Unexpected miscellaneous costs
Training and Development,62565.87,69379.27991819243,6813.409918192432,10.89,Underutilized training budget
Training and Development,10899.55,9549.058912086371,-1350.4910879136278,-12.39,Underutilized training budget
Training and Development,25056.62,22148.25110191381,-2908.368898086188,-11.61,Underutilized training budget
Miscellaneous Expenses,98100.16,119947.84203177314,21847.682031773133,22.27,Unexpected miscellaneous costs
Employee Benefits,37115.53,40047.55712417978,2932.027124179782,7.9,Lower due to reduced benefits claims
Employee Benefits,87693.41,101810.07419601142,14116.664196011421,16.1,Lower due to reduced benefits claims
Utilities,19578.05,16606.175605804623,-2971.874394195376,-15.18,"Efficient usage, possibly due to energy-saving initiatives"
